Categoria,Nombre del Articulo,Autor(es),Pais,Año publicacion,Cantidad de citas,Tipo documento,DOI,Revista/Conferencia,Volumen,Numero,Paginas,URL,Editorial,Palabras Indexadas,Resumen 3 lineas,Justificación categoría
Meso,AI-Enhanced Automated Incident Response in SIEM with Explainability for SOC Analysts,Charla R.R.,United States,2025,1,Conferencia,10.1109/iSAI-NLP66160.2025.11320514,"2025 20th International Joint Symposium on Artificial Intelligence and Natural Language Processing, iSAI-NLP 2025",,,,https://www.scopus.com/pages/publications/105032722475?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Automation, Compliance, Cybersecurity, Explainable AI, Incident Response, Scalability, SIEM, SOC, Threat Detection, Artificial intelligence, Information management, Security systems, Centralised, Cyber security, Explainable artificial intelligence, Incident detection, Security information and event management systems, Security information and event managements, Security operation center, enterprise","Security Information and Event Management (SIEM) systems have become the cornerstone of enterprise cybersecurity operations, providing centralized monitoring and incident detection. However, the increasing complexity of threats has outpaced manual Security Operations Center (SOC) workflows, leading to alert fatigue and slow response times. This paper explores the integration of artificial intelligence (AI) into automated incident response pipelines within SIEM systems, with a particular focus on explainability for SOC analysts.","Clasificado como Meso por coincidencias en metadatos: incident response, soc, enterprise, management, security operations center."
Micro,From Alert Fatigue to Augmented Defense: A Case for AI Copilots in Cybersecurity Operation Centers,Akre V.; Kobbaey T.; Lazarov G.; Abdulsalam K.; Al-Sit W.; Diab J.,Jordan,2025,0,Conferencia,10.1109/ITT69610.2025.11352895,"2025 10th International Conference on Information Technology Trends, ITT 2025",,,282-287,https://www.scopus.com/pages/publications/105033661365?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"AI Copilot, Alert Fatigue, Cybersecurity Operations Centers (CSOCs), Explainable AI (XAI), Human–AI Collaboration, Incident Response, Security Operation Centers (SOCs), SOAR, Threat Detection, Artificial intelligence, Cybersecurity, Fatigue of materials, Network security, Security systems, Cyber security, Cybersecurity operation center, Operation center, Security operation center, Security orchestration, automation","Cybersecurity Operations Centers (CSOCs) act as one of the foremost tools for cyber defenses. However, security analysts often face overwhelming stress owing to excessive volumes of alerts, frequent false positives flagged by most existing tools, and growing mental strain. Such challenges could negatively impact threat detections by delays that cause slower incident response; thus, undermining overall security effectiveness.","Clasificado como Micro por coincidencias en metadatos: models, machine learning, artificial intelligence, detection, threat detection."
Meso,Evolution and Challenges of Security Operations Centers in the Digital Age,Morocho-Sailema V.E.; Velasteguí H.J.; Jara-Elizalde Á.G.,Ecuador,2026,0,Conferencia,10.1007/978-3-032-10310-9_3,EAI/Springer Innovations in Communication and Computing,,,29-39,https://www.scopus.com/pages/publications/105031498339?origin=resultslist,Springer Science and Business Media Deutschland GmbH,"Cybersecurity, Digital defense, Incident response, Operational maturity, Threat detection, Artificial intelligence, Behavioral research, Digital twin, Economics, Human computer interaction, Information management, Investments, Network security, Security systems, Cyber security, Digital age, Digital environment, Exposed to, Maturity model, Security operation center","In an increasingly dynamic digital environment exposed to sophisticated threats, organizations face the challenge of comprehensively protecting their information assets. One key strategy involves the deployment of Security Operations Centers (SOC), which integrates people, processes, and technologies to detect, analyze, and respond to security incidents in real time. This article offers a critical narrative review of academic and technical publications from 2016 to 2025 on operational maturityOperational maturity models and conceptual frameworks that guide proactive threat detectionThreat detection.","Clasificado como Meso por coincidencias en metadatos: organizational, management, governance, incident response, soc, processes."
Micro,Using the MITRE ATT&CK Framework in SOC Ativities and Analyzing Cyber Attack,Uralov J.; Abdullaeva S.; Risolat I.; Yusupova M.; Kutliev S.; Qazaqov M.,Uzbekistan,2025,0,Conferencia,10.1109/EDM65517.2025.11096745,"International Conference of Young Specialists on Micro/Nanotechnologies and Electron Devices, EDM",,,2160-2164,https://www.scopus.com/pages/publications/105014152671?origin=resultslist,IEEE Computer Society,"Adversarial Tactics, Cyber Defense, Cyber Risk Mitigation, Cyber Threat Detection, Cybersecurity, Incident Response, MITRE ATT&CK, Security Operations Center (SOC), Tactics Techniques and Procedures (TTPs), Threat Intelligence, Artificial intelligence, Computer crime, Crime, System-on-chip, Adversarial tactic, Cybe risk mitigation, Cybe threat detection, Cyber security, Cyber threats, Cyber-defense","The growing complexity of cyber threats demands advanced strategies to strengthen cybersecurity operations. The MITRE ATT&CK Framework offers a systematic method for identifying, analyzing, and mitigating cyber-attacks within Security Operations Centers (SOCs). This paper examines how integrating the MITRE ATT&CK Framework enhances SOC capabilities in threat detection, incident response, and overall cyber resilience.","Clasificado como Micro por coincidencias en metadatos: framework, artificial intelligence, detection, threat detection."
Micro,Threat Vision: A Next-Generation SOC-Inspired Platform Leveraging Hybrid Malware Analysis and Real-Time Social Media Threat Intelligence for Enhanced Cybersecurity,Harshith C.M.; Manohar N.; Venugopal S.; Kudroli A.; Jha N.,India,2025,0,Conferencia,10.1109/ICOIICS67115.2025.11390653,"Proceedings of the 4th International Conference on Intelligent Computing, Information and Control Systems, ICOIICS 2025",,,177-183,https://www.scopus.com/pages/publications/105036680880?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Cybersecurity Automation, Deep Learning, Human-AI Collaboration, Hybrid Analysis, Machine Learning, Malware Detection, Network Security, Security Operations Centre (SOC), Sentiment Analysis, Social Media Threat Intelligence, Cybersecurity, Learning systems, Malware, Security systems, Cyber security, Machine-learning, Networks security, Security operation center, Social media, Social medium threat intelligence","Cybersecurity threats, like malware and network breaches, are getting harder to manage. Therefore, need security that is both stronger and easier for every person to use. Typical Security Operation Centers work well, but they're expensive, which means only big companies can use them.","Clasificado como Micro por coincidencias en metadatos: malware, machine learning, deep learning, detection."
Meso,Air Traffic Control System Cyber Security Using Humans and Machine Learning,Atkins G.; Sampigethaya K.,United States,2023,6,Conferencia,10.1109/ICNS58246.2023.10124305,"Integrated Communications, Navigation and Surveillance Conference, ICNS",2023-April,,,https://www.scopus.com/pages/publications/85160613092?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"ADS-B, air traffic control, crew, cyber security, machine learning, Air navigation, Alarm systems, Control towers, Decision making, Air traffic control systems, Air traffic controller, Automatic dependent surveillance broadcasts, Cyber-attacks, Education and training, Human learning, Machine-learning, Performance, Cybersecurity, management, incident response","Aviation performance depends on education and training of pilots and air traffic controllers (ATCOs) on technical, procedural, crisis management, decision making, leadership and communication skills. Recent incidents and studies, however, show crew members may be caught unaware and errors in human judgement can still occur in air traffic control (ATC) systems even more so in the presence of cyberattacks. This paper focuses on raising situation awareness and decision making of ATCOs with cyberattacks impacting operations in next-generation ATC systems.","Clasificado como Meso por coincidencias en metadatos: management, decision making, incident response, cybersecurity management."
Micro,Dynamic characterisation of cyberattacks based on the MITRE ATT&CK framework applied to the optimisation of a mitigation selection process,Sánchez-Zas C.; Larriva-Novo X.; Villagrá V.A.; Solera-Cotanilla S.; Sanz-Rodrigo M.,Spain,2026,0,Artículo,10.1016/j.future.2025.108272,Future Generation Computer Systems,177,,108272,https://www.scopus.com/pages/publications/105030025553?origin=resultslist,Elsevier B.V.,"Countermeasure selection, Cybersecurity, Machine learning, MITRE ATT&CK, Support to decision making, TTPs, Artificial intelligence, Behavioral research, Decision making, Malware, Risk analysis, Risk management, Zero-day attack, Cyber security, Cyber-attacks, Decisions makings, Dynamic characterization, Machine-learning, Optimisations, TTP","The main cybersecurity challenges identified nowadays arise around the need to know information about cyberattacks, in order to characterise them and applying the most appropriate mitigation techniques according to their behaviour. Current advances in cybersecurity focus on the detection of zero-day attacks, adaptability to attackers’ behaviour, and automated incident response. However, this evolution should not oppose the proven need for defence-in-depth policy, collaboration, and information sharing that can help other organisations prepare for new cyberattacks.","Clasificado como Micro por coincidencias en metadatos: framework, algorithm, model, machine learning, artificial intelligence, detection."
Micro,Explainable AI for Malware Classification: Bridging the Gap Between Accuracy and Transparency,Muça F.; Ahmad W.,Albania,2026,0,Conferencia,10.1007/978-3-032-07373-0_6,Communications in Computer and Information Science,2669 CCIS,,79-99,https://www.scopus.com/pages/publications/105021337689?origin=resultslist,Springer Science and Business Media Deutschland GmbH,"Cybersecurity, Explainable AI, Gradient Boosting, LIME, Machine Learning, Malware Classification, Model Interpretability, Random Forest, SHAP, Transparency, Adaptive boosting, Balancing, Barium compounds, Decision support systems, Decision trees, Learning systems, Logistic regression, Malware, Network security, Random forests","Artificial Intelligence (AI) has significantly improved malware classification by enhancing detection accuracy and efficiency. However, the opaque nature of many AI models presents a major challenge in cybersecurity, as security analysts often struggle to trust or fully understand the decisions made by these systems. This lack of transparency impedes adoption in real-world applications where explainability is crucial for risk assessment, incident response, and compliance.","Clasificado como Micro por coincidencias en metadatos: classification, malware, model, models, machine learning, artificial intelligence."
Micro,Combat Security Alert Fatigue with AI-Assisted Techniques,Ban T.; Samuel N.; Takahashi T.; Inoue D.,Japan,2021,50,Conferencia,10.1145/3474718.3474723,ACM International Conference Proceeding Series,,,9-16,https://www.scopus.com/pages/publications/85115272683?origin=resultslist,Association for Computing Machinery,"alert fatigue, Intrusion detection systems, security alert analysis, Intrusion detection, Fatigue problems, Management IS, Security alert analyse, Security alerts, Security experts, Security incident, Security information and event managements, Security products, Network security, enterprise, management, incident response, algorithms, artificial intelligence, dataset","The main challenge for security information and event management (SIEM) is to find critical security incidents among a huge number of false alerts generated from separate security products. To address the alert fatigue problem that is common for security experts operating the SIEM, we propose a new alert screening scheme that leverages artificial intelligence (AI)-assisted tools to distinguish actual threats from false alarms without investigating every alert. The proposed scheme incorporates carefully chosen learning algorithms and newly designed visualization tools to facilitate speedy alert analysis and incident response.","Clasificado como Micro por coincidencias en metadatos: algorithms, artificial intelligence, detection, intrusion detection, dataset."
Micro,Improved Detection and Response via Optimized Alerts: Usability Study,McRee G.R.,United States,2022,5,Artículo,10.3390/jcp2020020,Journal of Cybersecurity and Privacy,2,2,379-401,https://www.scopus.com/pages/publications/85180125257?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),"data science, detection, security alert, text alert output, user acceptance, user experience, visual alert output, visualization, impact, incident response, soc, model, models, machine learning","Security analysts working in the modern threat landscape face excessive events and alerts, a high volume of false-positive alerts, significant time constraints, innovative adversaries, and a staggering volume of unstructured data. Organizations thus risk data breach, loss of valuable human resources, reputational damage, and impact to revenue when excessive security alert volume and a lack of fidelity degrade detection services. This study examined tactics to reduce security data fatigue, increase detection accuracy, and enhance security analysts’ experience using security alert output generated via data science and machine learning models.","Clasificado como Micro por coincidencias en metadatos: detection, model, models, machine learning."
Micro,Predicting Crash-Related Incident Clearance Time on Louisiana’s Rural Interstate Using Ensemble Tree-Based Learning Methods,Khan W.A.; Moomen M.; Rahman M.A.; Terkper K.A.; Codjoe J.; Gopu V.,United States,2024,5,Artículo,10.3390/app142310964,Applied Sciences (Switzerland),14,23,10964,https://www.scopus.com/pages/publications/85212441380?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),"incident clearance time, machine learning, rural interstate, SHAP analysis, Adaptive boosting, Highway accidents, Highway administration, Truck transportation, Gradient boosting, Incident duration, Light gradients, Louisiana, Machine-learning, Rural interstates, Shapley, Shapley additive explanation analyze, Traffic crashes, Traffic congestion, incident response, models","Traffic crashes contribute significantly to non-recurrent congestion, thereby increasing delays, congestion pollution, and other challenges. It is important to have tools that enable accurate prediction of incident duration to reduce delays. It is also necessary to understand factors that affect the duration of traffic crashes.","Clasificado como Micro por coincidencias en metadatos: models, machine learning, prediction, model."
Micro,SMS-I: Intelligent Security for Cyber–Physical Systems,Maia E.; Sousa N.; Oliveira N.; Wannous S.; Sousa O.; Praça I.,Portugal,2022,6,Artículo,10.3390/info13090403,Information (Switzerland),13,9,403,https://www.scopus.com/pages/publications/85138752924?origin=resultslist,MDPI,"cyber–physical systems, cyber–physical systems forensics, digital forensics, machine learning, rule mining, security incident response, Computer crime, Computer forensics, Critical infrastructures, Cybersecurity, Decision making, E-learning, Public works, Cybe-physical systems, Cybe–physical system forensic, Incident response, Machine-learning, Security incident, society, impact","Critical infrastructures are an attractive target for attackers, mainly due to the catastrophic impact of these attacks on society. In addition, the cyber–physical nature of these infrastructures makes them more vulnerable to cyber–physical threats and makes the detection, investigation, and remediation of security attacks more difficult. Therefore, improving cyber–physical correlations, forensics investigations, and Incident response tasks is of paramount importance.","Clasificado como Micro por coincidencias en metadatos: machine learning, artificial intelligence, classification, detection."
Micro,ARCS: Adaptive Reinforcement Learning Framework for Automated Cybersecurity Incident Response Strategy Optimization,Ren S.; Jin J.; Niu G.; Liu Y.,United States,2025,20,Artículo,10.3390/app15020951,Applied Sciences (Switzerland),15,2,951,https://www.scopus.com/pages/publications/85215680132?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),"automated incident response, cybersecurity optimization, reinforcement learning, security event analytics, Adversarial machine learning, Adaptive reinforcement, Cyber security, Incident response, Optimisations, Reinforcement learnings, Response strategies, Security event analytic, Security events, Cyber attacks, process, dataset, framework","The increasing sophistication and frequency of cyber attacks necessitate automated and intelligent response mechanisms that can adapt to evolving threats. This paper presents ARCS (Adaptive Reinforcement learning for Cybersecurity Strategy), a novel framework that leverages deep reinforcement learning to optimize automated incident response strategies in cybersecurity systems. Our approach uniquely combines state representation learning of security events with a hierarchical decision-making process to map attack patterns to optimal defense measures.","Clasificado como Micro por coincidencias en metadatos: framework, machine learning, dataset."
Micro,Ensemble-Based Intrusion Detection Enhanced with LLM-Driven Incident Response Automation,Thumala S.R.; Mane V.; Inamdar C.; Pethkar P.; Poke A.; Patil R.,United States,2025,1,Conferencia,10.1109/I4Tech64670.2025.11277913,"2025 3rd International Conference on Industry 4.0 Technology, I4Tech 2025",,,,https://www.scopus.com/pages/publications/105031115669?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"cybersecurity automation, incident response, Intrusion detection, LangChain, random forest, REST API, XGBoost, Artificial intelligence, Automation, Computer crime, Cybersecurity, Decision making, Learning systems, Network security, Cyber security, Intrusion-Detection, Random forests, Response systems, Threat detection, model","Traditional incident response systems lack adaptability and autonomous decision-making, limiting their effectiveness against sophisticated cyber threats. A modular AI framework is implemented to address this challenge by integrating ensemble-based binary intrusion detection and multiclass attack classification with real-time automation. Using the UNSW-NB15 dataset, Random Forest, XGBoost, and LightGBM models are trained for binary threat detection, followed by classification into nine attack categories.","Clasificado como Micro por coincidencias en metadatos: detection, intrusion detection, model, models, artificial intelligence, classification."
Meso,A Practical Approach to Defining a Framework for Developing an Agentic AIOps System,Zota R.D.; Bărbulescu C.; Constantinescu R.,United States,2025,10,Artículo,10.3390/electronics14091775,Electronics (Switzerland),14,9,1775,https://www.scopus.com/pages/publications/105004831302?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),"Agentic AIOps, AI-driven agents, AIOps, ITIL, MLOps, PRM-IT, Empowerment of personnel, Human resource management, Information management, Predictive maintenance, Agentic artificial intelligence for IT operation, AI-driven agent, AIOp, Information technology infrastructure, Information technology infrastructure library, MLOp, Operation system, Process reference model for IT, Process reference models, Work-flows","The increasing complexity of IT operations necessitates advanced automation to ensure system availability, resilience, continuity, performance, security, and maintainability. Traditional IT management frameworks, such as the Information Technology Infrastructure Library (ITIL), have standardized service management processes, while models like IBM’s Process Reference Model for IT (PRM-IT) have facilitated automation through structured workflows. However, critical tasks, such as incident resolution and problem management, still require significant human intervention.","Clasificado como Meso por coincidencias en metadatos: enterprise, management, decision making, incident response, process, processes."
Micro,Human Factors in AI-Driven Cybersecurity: Cognitive Biases and Trust Issues,Hagen R.A.; Øverlier L.; Helkala K.,Norway,2025,0,Artículo,10.1145/3759260,Digital Threats: Research and Practice,6,4,23,https://www.scopus.com/pages/publications/105026323076?origin=resultslist,Association for Computing Machinery,"AI (XAI), alert fatigue, automation bias, bias mitigation, cognitive biases, confirmation bias, dual-process theory, false positives, human–AI collaboration, incident response workflows, model interpretability, practitioner perspectives, security operations centers (SOC), trust calibration, Artificial intelligence, Automation, Cybersecurity, Human computer interaction, Human engineering, Cognitive bias","The integration of AI in cybersecurity promises enhanced threat detection and response capabilities, yet its adoption is hindered by human factors, particularly cognitive biases and trust issues. This study investigates how cognitive biases, such as automation bias (47%) and confirmation bias (37%), influence security analysts’ trust in AI-driven tools, drawing on Kahneman’s dual-process theory. Through qualitative interviews with 19 cybersecurity professionals and a comparative analysis of AI solutions from Microsoft, CrowdStrike, Darktrace, and IBM, we identify key barriers to adoption, including explainability gaps and high false positive rates.","Clasificado como Micro por coincidencias en metadatos: model, models, artificial intelligence, detection, threat detection."
Micro,AutoSOC Cyber Analyst (ASOC-CA): Using AI to Automate SOC Tier 1 & 2 Activities,Mihalopoulos I.; Ngo-Antonio J.-R.; Pugh M.; Neal D.; Cao Y.; Watkins L.,United States,2026,0,Conferencia,10.1109/CCWC67433.2026.11393893,"2026 IEEE 16th Annual Computing and Communication Workshop and Conference, CCWC 2026",,,519-525,https://www.scopus.com/pages/publications/105035592886?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Advanced Persistent Threat (APT) Detection, Artificial Intelligence (AI), Machine Learning (ML), MITRE ATT&CK, Security Information and Event Management (SIEM), Cybersecurity, Learning systems, Machine learning, Network security, Public works, Advanced persistent threat detection, Artificial intelligence, Artificial intelligence systems, Incident response, Machine-learning, Security information and event management, Security information and event managements, Threat detection, Information management, organizational","Hackers are now beginning to use artificial intelligence (AI) to expand the capabilities and sophistication of their attacks, creating challenges for network owners. As state-sponsored adversaries and advanced persistent threats (APTs) utilize AI to their advantage, network owners must evolve concurrently to address the emergent threat landscape shaped by advanced AI systems. Thus, in this paper, we propose an end-to-end Machine Learning Framework to automate and strengthen cybersecurity operations.","Clasificado como Micro por coincidencias en metadatos: model, machine learning, artificial intelligence, detection, threat detection, framework."
Micro,From Vulnerability to Defense: The Role of Large Language Models in Enhancing Cybersecurity,Kasri W.; Himeur Y.; Alkhazaleh H.A.; Tarapiah S.; Atalla S.; Mansoor W.; Al-Ahmad H.,Palestine,2025,67,Artículo,10.3390/computation13020030,Computation,13,2,30,https://www.scopus.com/pages/publications/85219181500?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),"cybersecurity, deep learning, intrusion detection, large language models, malware detection, phishing attack detection, organizational, management, incident management, incident response, detection, threat detection, phishing, malware, datasets, bert","The escalating complexity of cyber threats, coupled with the rapid evolution of digital landscapes, poses significant challenges to traditional cybersecurity mechanisms. This review explores the transformative role of LLMs in addressing critical challenges in cybersecurity. With the rapid evolution of digital landscapes and the increasing sophistication of cyber threats, traditional security mechanisms often fall short in detecting, mitigating, and responding to complex risks.","Clasificado como Micro por coincidencias en metadatos: models, deep learning, detection, threat detection, intrusion detection, phishing."
Micro,Toward Robust Security Orchestration and Automated Response in Security Operations Centers with a Hyper-Automation Approach Using Agentic Artificial Intelligence,Ismail; Kurnia R.; Brata Z.A.; Nelistiani G.A.; Heo S.; Kim H.; Kim H.,South Korea,2025,22,Artículo,10.3390/info16050365,Information (Switzerland),16,5,365,https://www.scopus.com/pages/publications/105006586264?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),"agentic-LLM, hyper-automation, incident-response, security operation center, SOAR, Intelligent systems, Agentic-large language model, Automated response, Cyber security, Incident response, Language model, Robust security, Security orchestration, automation, and response, Threats mitigations, Cyber attacks, soc, models, detection","The evolving landscape of cybersecurity threats demands the modernization of Security Operations Centers (SOCs) to enhance threat detection, response, and mitigation. Security Orchestration, Automation, and Response (SOAR) platforms play a crucial role in addressing operational inefficiencies; however, traditional no-code SOAR solutions face significant limitations, including restricted flexibility, scalability challenges, inadequate support for advanced logic, and difficulties in managing large playbooks. These constraints hinder effective automation, reduce adaptability, and underutilize analysts’ technical expertise, underscoring the need for more sophisticated solutions.","Clasificado como Micro por coincidencias en metadatos: artificial intelligence, model, models, detection, threat detection, framework."
Micro,Empowering Security Operation Center with Artificial Intelligence and Machine Learning - A Systematic Literature Review,Khayat M.; Barka E.; Adel Serhani M.; Sallabi F.; Shuaib K.; Khater H.M.,Egypt,2025,34,Artículo,10.1109/ACCESS.2025.3532951,IEEE Access,13,,19162-19197,https://www.scopus.com/pages/publications/85216406598?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Artificial intelligence, cyber threats, cybersecurity, healthcare security, incident response, machine learning, neural networks, next-generation SOC, security operation center, threat detection, Cyber security, Machine-learning, Neural-networks, Next-generation security operation center, Adversarial machine learning, sector, organizational, soc, model, deep learning","Organizational cybersecurity relies heavily on security operation centers (SOCs) to protect businesses and institutions from emerging cyber threats. In recent years, the complexity and sophistication of cyber threats have increased, pushing SOCs to their limits. As a result, SOCs struggle to address the evolving threat landscape due to their reliance on isolation technologies and reactive strategies.","Clasificado como Micro por coincidencias en metadatos: machine learning, artificial intelligence, model, deep learning, detection, threat detection."
Micro,Finding Harmony in the Noise: Blending Security Alerts for Attack Detection,Roelofs T.-M.; Barbaro E.; Pekarskikh S.; Orzechowska K.; Kwapień M.; Tyrlik J.; Smadu D.; Van Eeten M.; Zhauniarovich Y.,Netherlands,2024,4,Conferencia,10.1145/3605098.3635981,Proceedings of the ACM Symposium on Applied Computing,,,1385-1394,https://www.scopus.com/pages/publications/85197686498?origin=resultslist,Association for Computing Machinery,"intrusion detection, machine learning, security alert integration, Blending, Integration, Personnel training, Security systems, Attack detection, End to end, Global organization, Intrusion-Detection, Machine-learning, Medium sized organizations, Securities analysts, Security alerts, Security detection systems, global, organization, incident response, soc","Large- and medium-sized organizations employ various security systems to protect their assets. These systems, often developed by different vendors, focus on different threats and usually work independently. They generate separate and voluminous alerts that have to be monitored and analyzed by often overburdened security analysts.","Clasificado como Micro por coincidencias en metadatos: detection, model, machine learning, intrusion detection, dataset."
Micro,Explainable Intelligence and LLM-Based Secure Framework for Industrial Internet of Things,Mehta D.; Patel C.; Shah M.; Shah A.; Gupta R.; Tanwar S.; Alabdulatif A.,India,2026,0,Artículo,10.1109/MNET.2025.3637291,IEEE Network,,,,https://www.scopus.com/pages/publications/105030704925?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Artificial intelligence, Electronic data interchange, Internet of things, Learning systems, Network security, Decision-making process, Human intervention, Language model, Machine-learning, Manual labors, Model-based OPC, Real-time data exchange, Security frameworks, Security vulnerabilities, Threat identification, Complex networks, Decision making, incident response, processes, model","The Industrial Internet of Things (IIoT) is transforming the industrial landscape by enabling real-time data exchange and automation, reducing the need for human intervention and enhancing accuracy beyond manual labor. However, this interconnectedness creates a vast assortment of security vulnerabilities, ranging from device-level attacks to a complex nexus of network breaches. This paper introduces a comprehensive security framework utilizing Machine Learning (ML) for smart threat identification and Explainable AI (XAI) to improve transparency and build trust in decision-making processes.","Clasificado como Micro por coincidencias en metadatos: framework, model, models, machine learning, artificial intelligence, prediction."
Micro,Machine Learning-Based Alert Correlation for Enhanced Cybersecurity: A Multi-Classification Approach,Diakhame M.L.; Diallo C.; Mejri M.,Canada,2025,0,Conferencia,10.1109/CSNet67572.2025.11288163,"2025 9th Cyber Security in Networking Conference: GenAI and Cybersecurity, CSNet 2025",,,,https://www.scopus.com/pages/publications/105032100549?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Alert Correlation, Classification, Cybersecurity, Incident Response, Machine Learning, SIEM, Convolutional neural networks, Learning algorithms, Learning systems, Logistic regression, Network security, Pattern recognition, Security systems, Support vector regression, Classification approach, Cyber security, Machine-learning, Multi-classification, Performance, Random forests","Modern Security Operations Centers (SOCs) struggle with an overwhelming influx of security alerts from diverse sources, leading to alert fatigue and delayed incident response times. Conventional Security Information and Event Management (SIEM) systems typically process alerts in isolation, missing complex attack patterns that unfold across multiple detection points. This research introduces a comprehensive machine learning framework for intelligent alert correlation using three classification approaches: binary correlation detection, correlation type classification, and incident classification.","Clasificado como Micro por coincidencias en metadatos: machine learning, classification, algorithms, models, detection, dataset."
Meso,"Enhancing Urban Resilience in Smart Cities Through Edge AI, Point of Interest Analysis, and Multi-Criteria Decision-Making",Ke C.-K.; Wu M.-Y.,Taiwan,2025,0,Conferencia,10.1109/IS3C65361.2025.11130986,"IS3C 2025 - International Symposium on Computer, Consumer and Control",,,,https://www.scopus.com/pages/publications/105016200881?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"edge artificial intelligence, multi-criteria decision analysis, point of interest, smart city, urban resilience, Analytic hierarchy process, Artificial intelligence, Decision support systems, Disaster prevention, Distributed computer systems, Emergency services, Information services, Information use, Network security, Quality of service, Multi criteria decision-making, Multicriteria decision-making, Multicriterion decision makings, Real- time, Service oriented computing","In today's urban environment, where extreme weather, epidemic outbreaks, and social security threats are frequent, the construction of smart cities must focus not only on efficiency and convenience but also on defensive resilience to handle crises effectively. This study proposes an innovative information service architecture that integrates edge artificial intelligence (Edge AI), point of interest (POI) analysis, and multi-criteria decision analysis (MCDA) to enhance early warning and solution recommendation processes for smart city incidents. The proposed system will identify critical POI maps in the city through POI risk analysis.","Clasificado como Meso por coincidencias en metadatos: decision making, management, incident response, process, processes."
Micro,Strategic cyber threat intelligence: Building the situational picture with emerging technologies,Voutilainen J.; Kari M.,Finland,2020,4,Conferencia,10.34190/EWS.20.030,"European Conference on Information Warfare and Security, ECCWS",2020-June,,545-553,https://www.scopus.com/pages/publications/85094639017?origin=resultslist,Curran Associates Inc.,"Artificial Intelligence, Machine Learning, Strategic Cyber Threat Intelligence, Crime, Cybersecurity, Decision making, Large dataset, Malware, Network security, Cyber threats, Cyber-attacks, Cyberspaces, Decisions makings, Emerging technologies, Incident response, Large organizations, Machine-learning, Strategic cybe threat intelligence, Tacticals, impact","In 2019, e-criminals adopted new tactics to demand enormous ransoms from large organizations by using ransomware, a phenomenon known as “big game hunting.” Big game hunting is an excellent example of a sophisticated and coordinated modern cyber-attack that has a significant impact on the target. Cyber threat intelligence (CTI) increases the possibilities to detect and prevent cyber-attacks and gives defenders more time to act. CTI is a combination of incident response and traditional intelligence.","Clasificado como Micro por coincidencias en metadatos: machine learning, artificial intelligence, detection, malware, ransomware, dataset."
Meso,Optimization and Implementation of Network Security Incident Handling Process Based on Secure Arrangement,Ni L.; Qian Y.; Zhang S.; Tong S.; Bao C.,China,2024,0,Conferencia,10.1109/ICSECE61636.2024.10729589,"2024 IEEE 2nd International Conference on Sensors, Electronics and Computer Engineering, ICSECE 2024",,,472-478,https://www.scopus.com/pages/publications/85209679637?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Automation, Configuration management, Network security incident, Security arrangement, Decision making, Network security, Resource allocation, Risk management, Handling process, In networks, Incident response, Innovative solutions, Integrating security, Network security incidents, Optimisations, Process-based, Security arrangements, Network intrusion, management, incident management","This article addresses the issues of low efficiency and fragmented processes in network security incident response, proposing an innovative solution that utilizes security orchestration technology to optimize the handling process and achieve automation. Through an analysis of existing processes, the limitations of traditional methods are clearly defined. The research elaborates on the principles of security orchestration technology, including its advantages in integrating security tools and designing automated processes.","Clasificado como Meso por coincidencias en metadatos: process, management, decision making, incident management, incident response, processes."
Meso,"A Context-Aware, AI-Driven Load Balancing Framework for Incident Escalation in SOCs",Abuaziz A.; Celiktas B.,Turkey,2025,2,Conferencia,10.1109/ISAS66241.2025.11101733,"ISAS 2025 - 9th International Symposium on Innovative Approaches in Smart Technologies, Proceedings",,,,https://www.scopus.com/pages/publications/105014912764?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"AI-driven incident escalation, context-aware assignment, escalation, load balancing, security operation center, Artificial intelligence, Computational methods, Programmable logic controllers, System-on-chip, Context-Aware, Cyber-attacks, Incident escalations, Incident Management, Load-Balancing, Rule based, Resource allocation, organizational, management, incident response, soc","SOCs face growing challenges in incident management due to increasing alert volumes and the complexity of cyberattacks. Traditional rule-based escalation models often fail to account for the workload of the analyst, the severity of the incident, and the organizational context. This paper proposes a context-aware, AI-driven load balancing framework for intelligent analyst assignment and incident escalation.","Clasificado como Meso por coincidencias en metadatos: organizational, management, incident management, incident response, soc."
